est,est,sum,VA,s3436,,VaN
est,est,e'do,VA,e0094,,VmN
non,non,non,I,n9508,,X--
quod,quod,qui,PR,q9410,,P7-
in,in,eo,VA,e0655,,VmN
in,in,in,I,i0702,,X--
sed,sed,se,PR,s0844,,Px-
sed,sed,sed,I,s0902,,X--
sed,sed,sine,I,s1737,,X--
uel,uel,uel,I,u0219,,X--
de,de,d,I,d0001,,X--
de,de,de,I,d0071,,X--
enim,enim,enim,I,e0594,,X--
et,et,et,I,e0997,,X--
uero,uero,uero,N3B,u0411,m,NcC
uero,uero,uerus,N2/1,u0469,*,Af-
uero,uero,uero,V1,u0410,,VmF
uero,uero,ue'rum,N2,u0462,n,NcB
uero,uero,uerus,N2/1,u0469,*,Af-
uero,uero,ue"rum,N2,u8133,n,NcB
uero,uero,uerus,N2,88920,m,NpB
ut,ut,ut,I,u1318,,X--
ad,ad,ad,I,a0479,,X--
ad,ad,at,I,a0547,,X--
ad,ad,ad,I,1580,,X--
quae,quae,quis,PR,q0198,,P4-
quae,quae,qui,PR,q9410,,P7-
esse,esse,e'do,VA,e0094,,VmN
esse,esse,sum,VA,s3436,,VaN
esse,esse,e'do,VA,e0094,,VmN
deus,deus,deus,N2,d1193,m,NcB
deus,deus,deus,N2,24808,m,NpB
deus,deus,deo,N4,24201,f,NpD
idem,idem,idem,PR,i2911,,P3-
dicitur,dicitur,dico,V3,d1350,,VmH
si,si,si,I,s1544,,X--
si,si,sus,N2/1,s3437,*,Af-
si,si,sus,N2/1,s3835,*,Af-
secundum,secundum,secundus,N2/1,s9990,*,Ao-
secundum,secundum,secundum,I,s9996,,X--
secundum,secundum,secundus,N2/1,s9990,*,Ao-
secundum,secundum,secundus,N2/1,74527,*,Af-
secundum,secundum,secor,V3,s1348,,VmH
secundum,secundum,sequor/-o,V3,s1348,,VmH
secundum,secundum,secor,V3,s1348,,VmH
secundum,secundum,sequor/-o,V3,s1348,,VmH
ex,ex,ex,I,e1167,,X--
sit,sit,sum,VA,s3436,,VaN
deo,deo,deo,N4,24201,f,NpD
