est,est,sum,VA,s3436,,VaN
est,est,e'do,VA,e0094,,VmN
esse,esse,e'do,VA,e0094,,VmN
esse,esse,sum,VA,s3436,,VaN
esse,esse,e'do,VA,e0094,,VmN
non,non,non,I,n9508,,X--
quod,quod,qui,PR,q9410,,P7-
in,in,eo,VA,e0655,,VmN
in,in,in,I,i0702,,X--
sed,sed,se,PR,s0844,,Px-
sed,sed,sed,I,s0902,,X--
sed,sed,sine,I,s1737,,X--
quae,quae,quis,PR,q0198,,P4-
quae,quae,qui,PR,q9410,,P7-
si,si,si,I,s1544,,X--
si,si,sus,N2/1,s3437,*,Af-
si,si,sus,N2/1,s3835,*,Af-
et,et,et,I,e0997,,X--
cum,cum,cum,I,c4579,,X--
cum,cum,cum,I,c4584,,X--
ut,ut,ut,I,u1318,,X--
vero,uero,uero,N3B,u0411,m,NcC
vero,uero,uerus,N2/1,u0469,*,Af-
vero,uero,uero,V1,u0410,,VmF
vero,uero,ue'rum,N2,u0462,n,NcB
vero,uero,uerus,N2/1,u0469,*,Af-
vero,uero,ue"rum,N2,u8133,n,NcB
vero,uero,uerus,N2,88920,m,NpB
igitur,igitur,igitur,I,i0118,,X--
inquam,inquam,inquam,VA,i1914,,VmN
quid,quid,quis,PR,q0198,,P4-
nec,nec,nec,I,n0149,,X--
ad,ad,ad,I,a0479,,X--
ad,ad,at,I,a0547,,X--
ad,ad,ad,I,1580,,X--
quidem,quidem,quidem,I,q0201,,X--
enim,enim,enim,I,e0594,,X--
qui,qui,queo,VA,q0178,,VmN
qui,qui,quis,PR,q0198,,P4-
qui,qui,qui,PR,q9410,,P7-
quam,quam,qui,PR,q9410,,P7-
vel,uel,uel,I,u0219,,X--
atque,atque,atque,I,a3301,,X--
atque,atque,ad,I,a0479,,X--
atque,atque,at,I,a0547,,X--
id,id,et,I,e0997,,X--
id,id,is,PR,i2912,,P3-
haec,haec,hic,PR,h0360,,Py-
inquit,inquit,inquam,VA,i1914,,VmN
inquit,inquit,inquam,VA,i1914,,VmN
